,GENE NAME,GENE ID
587,ALOX12,ENSG00000108839
588,ALOX12B,ENSG00000179477
589,ALOX15,ENSG00000161905
590,ALOX15B,ENSG00000179593
591,ALOXE3,ENSG00000179148
592,ALPG,ENSG00000163286
593,ALPI,ENSG00000163295
594,ALPK1,ENSG00000073331
595,ALPK2,ENSG00000198796
596,ALPK3,ENSG00000136383
597,ALPL,ENSG00000162551
598,ALPP,ENSG00000163283
599,ALS2,ENSG00000003393
600,ALS2CL,ENSG00000178038
601,ALX1,ENSG00000180318
602,ALX3,ENSG00000156150
603,ALX4,ENSG00000052850
604,ALYREF,ENSG00000183684
605,AMACR,ENSG00000242110
606,AMBN,ENSG00000178522
607,AMBP,ENSG00000106927
608,AMBRA1,ENSG00000110497
609,AMD1,ENSG00000123505
610,AMDHD1,ENSG00000139344
611,AMDHD2,ENSG00000162066
612,AMELX,ENSG00000125363
613,AMELY,ENSG00000099721
614,AMER1,ENSG00000184675
615,AMER2,ENSG00000165566
616,AMER3,ENSG00000178171
617,AMFR,ENSG00000159461
618,AMH,ENSG00000104899
619,AMHR2,ENSG00000135409
620,AMIGO1,ENSG00000181754
621,AMIGO2,ENSG00000139211
622,AMIGO3,ENSG00000176020
623,AMMECR1,ENSG00000101935
624,AMMECR1L,ENSG00000144233
625,AMN,ENSG00000166126
626,AMN1,ENSG00000151743
627,AMOT,ENSG00000126016
628,AMOTL1,ENSG00000166025
629,AMOTL2,ENSG00000114019
630,AMPD1,ENSG00000116748
631,AMPD2,ENSG00000116337
632,AMPD3,ENSG00000133805
633,AMPH,ENSG00000078053
634,AMT,ENSG00000145020
635,AMTN,ENSG00000187689
636,AMY1A,ENSG00000237763
637,AMY1B,ENSG00000174876
638,AMY1C,ENSG00000187733
639,AMY2A,ENSG00000243480
640,AMY2B,ENSG00000240038
641,AMZ1,ENSG00000174945
642,AMZ2,ENSG00000196704
643,ANAPC1,ENSG00000153107
644,ANAPC2,ENSG00000176248
645,ANAPC4,ENSG00000053900
646,ANAPC5,ENSG00000089053
647,ANAPC7,ENSG00000196510
648,ANAPC10,ENSG00000164162
649,ANAPC11,ENSG00000141552
650,ANAPC13,ENSG00000129055
651,ANAPC15,ENSG00000110200
652,ANAPC16,ENSG00000166295
653,ANG,ENSG00000214274
654,ANGEL1,ENSG00000013523
655,ANGEL2,ENSG00000174606
656,ANGPT1,ENSG00000154188
657,ANGPT2,ENSG00000091879
658,ANGPT4,ENSG00000101280
659,ANGPTL1,ENSG00000116194
660,ANGPTL2,ENSG00000136859
661,ANGPTL3,ENSG00000132855
662,ANGPTL4,ENSG00000167772
663,ANGPTL5,ENSG00000187151
664,ANGPTL6,ENSG00000130812
665,ANGPTL7,ENSG00000171819
666,ANGPTL8,ENSG00000130173
667,ANHX,ENSG00000227059
668,ANK1,ENSG00000029534
669,ANK2,ENSG00000145362
670,ANK3,ENSG00000151150
671,ANKAR,ENSG00000151687
672,ANKDD1A,ENSG00000166839
673,ANKDD1B,ENSG00000189045
674,ANKEF1,ENSG00000132623
675,ANKFN1,ENSG00000153930
676,ANKFY1,ENSG00000185722
677,ANKH,ENSG00000154122
678,ANKHD1,ENSG00000131503
679,ANKIB1,ENSG00000001629
680,ANKK1,ENSG00000170209
681,ANKLE1,ENSG00000160117
682,ANKLE2,ENSG00000176915
683,ANKMY1,ENSG00000144504
684,ANKMY2,ENSG00000106524
685,ANKRA2,ENSG00000164331
686,ANKRD1,ENSG00000148677
687,ANKRD2,ENSG00000165887
688,ANKRD6,ENSG00000135299
689,ANKRD7,ENSG00000106013
690,ANKRD9,ENSG00000156381
691,ANKRD10,ENSG00000088448
692,ANKRD11,ENSG00000167522
693,ANKRD12,ENSG00000101745
694,ANKRD13A,ENSG00000076513
695,ANKRD13B,ENSG00000198720
696,ANKRD13C,ENSG00000118454
697,ANKRD13D,ENSG00000172932
698,ANKRD16,ENSG00000134461
699,ANKRD17,ENSG00000132466
700,ANKRD18A,ENSG00000180071
701,ANKRD18B,ENSG00000230453
702,ANKRD20A1,ENSG00000260691
703,ANKRD22,ENSG00000152766
704,ANKRD23,ENSG00000163126
705,ANKRD24,ENSG00000089847
706,ANKRD26,ENSG00000107890
707,ANKRD27,ENSG00000105186
708,ANKRD28,ENSG00000206560
709,ANKRD29,ENSG00000154065
710,ANKRD30A,ENSG00000148513
711,ANKRD30B,ENSG00000180777
712,ANKRD30BL,ENSG00000163046
713,ANKRD31,ENSG00000145700
714,ANKRD33,ENSG00000167612
715,ANKRD33B,ENSG00000164236
716,ANKRD34A,ENSG00000272031
717,ANKRD34B,ENSG00000189127
718,ANKRD34C,ENSG00000235711
719,ANKRD35,ENSG00000198483
720,ANKRD36,ENSG00000135976
721,ANKRD36B,ENSG00000196912
722,ANKRD36C,ENSG00000174501
723,ANKRD37,ENSG00000186352
724,ANKRD39,ENSG00000213337
725,ANKRD40,ENSG00000154945
726,ANKRD40CL,ENSG00000167117
727,ANKRD42,ENSG00000137494
728,ANKRD44,ENSG00000065413
729,ANKRD45,ENSG00000183831
730,ANKRD46,ENSG00000186106
731,ANKRD49,ENSG00000168876
732,ANKRD50,ENSG00000151458
733,ANKRD52,ENSG00000139645
734,ANKRD53,ENSG00000144031
735,ANKRD54,ENSG00000100124
736,ANKRD55,ENSG00000164512
737,ANKRD60,ENSG00000124227
738,ANKRD61,ENSG00000157999
739,ANKRD62,ENSG00000181626
740,ANKRD63,ENSG00000230778
741,ANKRD65,ENSG00000235098
742,ANKRD66,ENSG00000230062
743,ANKS1A,ENSG00000064999
744,ANKS1B,ENSG00000185046
745,ANKS3,ENSG00000168096
746,ANKS4B,ENSG00000175311
747,ANKS6,ENSG00000165138
748,ANKUB1,ENSG00000206199
749,ANKZF1,ENSG00000163516
750,ANLN,ENSG00000011426
751,ANO1,ENSG00000131620
752,ANO2,ENSG00000047617
753,ANO3,ENSG00000134343
754,ANO4,ENSG00000151572
755,ANO5,ENSG00000171714
756,ANO6,ENSG00000177119
757,ANO7,ENSG00000146205
758,ANO8,ENSG00000074855
759,ANO9,ENSG00000185101
760,ANO10,ENSG00000160746
761,ANOS1,ENSG00000011201
762,ANP32A,ENSG00000140350
763,ANP32B,ENSG00000136938
764,ANP32D,ENSG00000139223
